wt-1,wt-2,wt-3,ko-1,ko-2,ko-3,GeneName
3.727213485,7.307920168,1.732553354,8.067426155,7.100789426,5.966664363,Col18a1
9.178598721,9.14948084,8.006567014,10.37051356,10.02324657,10.28768534,Slc19a1
99.28476362,104.7911218,103.9108394,116.2445688,115.5332824,114.6279529,Kpnb1
8.339403017,8.677869971,7.892178331,10.52336681,10.94251049,10.14474778,Npepps
0,0.099146881,0.025201912,0.149284168,0.102234896,0.102825042,Tbx21
18.67776,15.99503892,18.3187797,19.06385629,19.65783115,18.38581591,Mrpl10
5.31618459,8.394855118,4.374252707,8.118218453,6.61106644,5.837993671,Cyp51
29.79354262,31.06350878,30.39726469,36.26905485,35.06304137,33.66354531,Tcf25
7.139909366,8.564213906,5.067578018,7.751108159,10.06149646,6.697848858,Tubb6
7.849234344,8.212321757,7.439503694,8.580498152,8.973013952,7.806025604,Def8
0,0.055358492,0,0.027784187,0.11416536,0.114824374,Meox1
0,0,0,0.029962811,0.030779335,0,Sost
0,0.021699282,0,0,0,0,Nkx2-1
0.213434408,0.280537041,0.223228325,0.17140909,0.100617255,0.151797096,Pax9
1.736744037,1.014824147,0.831190765,2.292011261,6.704914349,1.841826348,Col1a1
0.259859195,0.47521048,0.054905741,0.227664892,0.423191594,0.25762085,Itga3
0,0.106632899,0,0.03567906,0.109954073,0,Sgca
0,0.047310595,0,0,0,0,Dlx3
23.29053827,20.74937103,25.72823478,19.26808733,20.69938603,21.16344521,Foxm1
2.813387933,2.798412332,2.642052494,2.460075179,2.616729249,2.794070555,Itfg2
0.269278438,0.525264711,0.333789493,0.461349139,0.2538865,0.357492867,Nrip2
0.606444329,0.726143181,0.704747099,0.868049139,0.857670014,0.63669636,Tulp3
7.837739227,7.929715469,8.573548853,9.24903964,8.272663865,8.262502706,Gtf2h4
593.485966,557.1744188,643.7592673,575.3068726,600.2737743,610.2941018,Tubb5
26.94242382,32.73596367,31.56809711,28.34394155,26.39882271,32.31047827,Ell2
3.018060688,2.903327544,1.656215126,3.231737813,3.922509603,2.216042623,Jup
0.620450551,0.819456572,0.277727642,0.653832442,0.866645387,0.479406432,Fkbp10
0.031210214,0.085612254,0.058030871,0.085936837,0.235409922,0.118384408,Klhl10
6.852650126,7.394712033,6.567718634,6.919851574,6.653817344,6.95548148,Nom1
7.469543078,7.412550084,6.079875305,9.156989741,7.958612931,8.063993421,Ergic1
1.154815426,1.000344079,0.960594823,1.022731829,1.432639801,1.825152223,Tnk1
7.162085148,5.714340039,5.334456296,7.246147832,7.248072683,6.621232891,Acap1
1.108029483,1.938179885,0.627023562,1.326496464,1.953124663,0.639571763,Tcea3
4.041189959,4.979448151,4.324300426,4.977192265,4.863155885,4.956735755,Ifrd1
2.183678917,2.679078753,2.531222165,2.435534492,2.527967301,2.332864218,Stk38l
11.44151996,10.79827855,11.70986619,11.26840385,11.78185164,11.57625835,Brpf1
6.403439553,6.090437745,5.549278183,7.088149047,7.326817954,6.89614592,Akr1b3
0,0,0,0,0,0.025988288,Hoxc13
0,0,0.026039184,0,0.026407851,0,Hoxc6
2.913212049,4.96422204,3.200774726,3.524591391,5.535002621,2.385837075,Gstt1
0.157992571,0.192616429,0.065280954,0.16112225,0.29792345,0.1498216,Gstt3
0.436256616,0.319116999,0.162231193,0.080081718,0.411320215,0.248216726,Ddt
0.028043773,0.051284291,0,0.051478726,0,0,Tat
