,gene
507,CTNND2
508,CTPS
509,CTR9
510,CTSB
511,CTSC
512,CTSD
513,CTSE
514,CTSF
515,CTSG
516,CTSH
517,CTSL
518,CTSO
519,CTSS
520,CTSW
521,CTSZ
522,CTTN
523,CUL2
524,CUL3
525,CUL4A
526,CX3CL1
527,CYB5R1
528,CYB5R3
529,CYBC1
530,CYC1
531,CYFIP2
532,CYP20A1
533,CYP26B1
534,CYP2J6
535,CYP2J9
536,CYP4V3
537,CYTH3
538,CYTH4
539,CYTIP
540,D10WSU102E
541,D1ERTD622E
542,D230025D16RIK
543,D630039A03RIK
544,D930016D06RIK
545,DACH1
546,DAPP1
547,DARS
548,DCAF11
549,DCAF13
550,DCAF4
551,DCK
552,DCP1A
553,DCTD
554,DDHD2
555,DDIAS
556,DDOST
557,DDX1
558,DDX11
559,DDX20
560,DDX21
561,DDX31
562,DDX39
563,DDX4
564,DDX58
565,DDX60
566,DECR1
567,DECR2
568,DEF8
569,DEK
570,DENND1C
571,DENND2D
572,DEPP1
573,DGKA
574,DGLUCY
575,DHFR
576,DHRS3
577,DHX32
578,DHX33
579,DHX35
580,DHX40
581,DIAPH2
582,DIS3L
583,DIS3L2
584,DKC1
585,DLST
586,DMD
587,DNAJC10
588,DNAJC11
589,DNAJC5
590,DNAJC9
591,DNM1L
592,DNPEP
593,DNTT
594,DOCK10
595,DOCK11
596,DOCK2
597,DOK2
598,DOP1B
599,DPH2
600,DPH6
601,DPP7
602,DPP8
603,DPY19L1
604,DPY19L3
605,DPY19L4
606,DRAM2
607,DRC7
608,DTL
609,DUS1L
610,DUSP1
611,DUSP2
612,DUSP5
613,DUSP6
614,DUT
615,DYM
616,DYNC2LI1
617,DYNLL1
618,DYNLT3
619,E2F4
620,E2F6
621,E2F8
622,E430014B02RIK
623,EAF1
624,EBI3
625,ECE1
626,ECT2
627,EDC3
628,EDEM1
629,EDRF1
630,EEF1AKNMT
631,EEF1E1
632,EEPD1
633,EFCC1
634,EFNA1
635,EFTUD2
636,EGR1
637,EHD3
638,EHHADH
639,EIF1A
640,EIF1AD
641,EIF2B1
642,EIF2S1
643,EIF3A
644,EIF3B
645,EIF3G
646,EIF4EBP1
647,EIF4ENIF1
648,EIF5A
649,ELAC2
650,ELANE
651,ELF1
652,ELL2
653,ELMO1
654,ELMO3
655,ELMOD2
656,ELOVL1
657,ELOVL5
658,ELP2
659,ELP3
660,EMB
661,EMCN
662,EMID1
663,EMILIN1
664,EMILIN2
665,EML4
666,EMP1
667,ENDOD1
668,ENG
669,ENPP4
670,ENPP5
671,EPB41L4B
672,EPB42
673,EPDR1
674,EPHX1
675,EPOR
676,EPRS
677,EPS15
678,EPS8
679,EPSTI1
680,EPX
681,ERCC4
682,ERCC8
683,ERGIC1
684,ERLIN1
685,ERLIN2
686,ERMAP
687,ERP29
688,ESAM
689,ESCO2
690,ESR1
691,ESYT2
692,ETF1
693,ETNK1
694,EVI2A
695,EXOC3
696,EXOC4
697,EXOC6B
698,EXT2
699,EYA1
700,EYA2
701,EZR
702,F10
703,F11R
704,F13A1
705,F2R
706,F2RL3
707,F630028O10RIK
708,F830016B08RIK
709,FAAH
710,FAAP100
711,FADS1
712,FADS3
713,FAM102A
714,FAM102B
715,FAM107B
716,FAM110C
717,FAM111A
718,FAM126A
719,FAM136A
720,FAM160B2
721,FAM168B
722,FAM171A1
723,FAM185A
724,FAM189B
725,FAM214A
726,FAM234B
727,FAM45A
728,FAM49A
729,FAM76B
730,FAM91A1
731,FAR1
732,FARSA
733,FARSB
734,FASTKD2
735,FASTKD3
736,FBXL4
737,FBXO3
738,FBXO30
739,FBXO34
740,FBXO5
741,FBXW11
742,FBXW5
743,FCER1G
744,FCGR2B
745,FCGR3
746,FCGRT
747,FCHO2
748,FCHSD2
749,FCRL1
750,FDFT1
751,FECH
752,FEM1A
753,FEM1B
754,FER
755,FES
756,FGD2
757,FGD4
758,FGD5
759,FGF3
760,FGFR1OP
761,FGFR3
762,FGFRL1
763,FGGY
764,FGL2
765,FHL1
766,FIGNL1
767,FKBP1A
768,FKBP4
769,FKBP9
770,FKTN
771,FLNA
772,FLNB
773,FLOT2
774,FLT3
775,FLVCR1
776,FMNL2
777,FMO5
778,FNDC3A
779,FNDC3B
780,FNTA
781,FOS
782,FOXO1
783,FOXRED1
784,FPGS
785,FRMD6
786,FRRS1
787,FSTL1
788,FTSJ1
789,FTSJ3
790,FTX
791,FUCA2
792,FUT4
793,FUT7
794,FUT8
795,FZR1
796,G2E3
797,G6PDX
798,GAA
799,GAB1
800,GABBR1
801,GABRE
802,GALK2
803,GALNS
804,GALNT11
805,GALNT6
806,GANAB
807,GARS
808,GAS2L3
809,GAS6
810,GATA1
811,GATA2
812,GATM
813,GBE1
814,GBP10
815,GBP2
816,GBP3
817,GBP4
818,GBP5
819,GBP7
820,GBP8
821,GBP9
822,GCAT
823,GCDH
824,GCLC
825,GCLM
826,GCNT2
827,GDA
828,GDAP2
829,GDF3
830,GEM
831,GEMIN5
832,GFI1
833,GFI1B
834,GFM1
835,GGT5
836,GGTA1
837,GHR
838,GIMAP1
839,GIMAP1OS
840,GIMAP3
841,GIMAP4
842,GIMAP5
843,GIMAP6
844,GIMAP8
845,GJA1
846,GK
847,GLIPR2
848,GLRX5
849,GM10039
850,GM10384
851,GM10419
852,GM11346
853,GM12185
854,GM12216
855,GM12250
856,GM12346
857,GM13461
858,GM14636
859,GM15446
860,GM15564
861,GM15915
862,GM17590
863,GM19331
864,GM19590
865,GM1966
866,GM20342
867,GM20559
868,GM26740
869,GM26917
870,GM28875
871,GM2A
872,GM30948
873,GM3604
874,GM37124
875,GM37645
876,GM40309
877,GM45837
878,GM4759
879,GM4951
880,GM5111
881,GM5431
882,GM8113
883,GM8203
884,GM8995
885,GM973
886,GMCL1
887,GMFB
888,GMNN
889,GMPR
890,GMPS
891,GNA11
892,GNA13
893,GNA14
894,GNAI3
895,GNB4
896,GNG11
897,GNG12
898,GNG2
899,GNL3
900,GNPDA1
901,GOLIM4
902,GOLM1
903,GOLPH3
904,GOLT1B
905,GORASP1
906,GOSR2
907,GP5
908,GP9
909,GPC1
910,GPKOW
911,GPR107
912,GPR146
913,GPR160
914,GPR171
915,GPR18
916,GPR180
917,GPR19
918,GPR4
919,GPR65
920,GPRASP1
921,GPRASP2
922,GPRC5B
923,GPSM1
924,GPSM2
925,GPX1
926,GPX3
927,GRAMD1A
928,GRIA3
929,GRINA
930,GRK3
931,GRN
932,GSAP
933,GSKIP
934,GSN
935,GSR
936,GSS
937,GSTM1
938,GSTM5
939,GSTT1
940,GT(ROSA)26SOR
941,GTF2E1
942,GTF2F1
943,GTF2H1
944,GTF3C3
945,GUCD1
946,GUCY1A1
947,GUSB
948,GYG
949,GYPA
950,GYPC
951,GYS1
952,H1F0
953,H2-AA
954,H2-DMA
955,H2-DMB1
956,H2-EB1
957,H2-M3
958,H2-OB
959,H2-Q6
960,H2-Q7
961,H2AFX
962,H2AFY
963,HAAO
964,HACD3
965,HACD4
966,HACE1
967,HAGH
968,HARS
969,HARS2
970,HASPIN
971,HAT1
972,HAUS2
973,HBA-A1
974,HBA-A2
975,HBB-BS
976,HBB-BT
977,HCFC1
978,HCFC2
979,HCK
980,HCLS1
981,HDAC10
982,HDAC11
983,HDAC2
984,HDAC7
985,HDC
986,HDGF
987,HDGFL3
988,HEATR5A
989,HEBP1
990,HECTD3
991,HELLS
992,HEMGN
993,HERC4
994,HERPUD1
995,HEXA
996,HGFAC
997,HGSNAT
998,HID1
999,HIF3A
1000,HIPK3
1001,HIST1H1C
1002,HIST1H2BC
1003,HIST1H4D
1004,HJURP
1005,HK3
1006,HLF
1007,HMBS
1008,HMGB2
1009,HMGB3
1010,HMMR
1011,HNF4A
1012,HNMT
1013,HNRNPAB
1014,HNRNPDL
1015,HNRNPLL
1016,HOOK3
1017,HOXA9
1018,HP
1019,HPCAL1
1020,HPN
1021,HPSE
1022,HSD11B1
1023,HSD3B7
1024,HSDL1
1025,HSP90AA1
1026,HSP90B1
1027,HSPA1A
1028,HSPA4
1029,HSPA4L
1030,HSPA5
1031,HSPA8
1032,HSPA9
1033,HSPD1
1034,HSPE1
1035,HSPH1
1036,HUS1
1037,HYOU1
1038,I830077J02RIK
1039,IARS
1040,IARS2
1041,ICA1
1042,ICAM1
1043,ICE1
1044,ICE2
1045,ICOS
1046,IDH1
1047,IDH3A
1048,IER3
1049,IFI203
1050,IFI206
1051,IFI209
1052,IFI213
1053,IFI27
1054,IFI27L2A
1055,IFI30
1056,IFI44
1057,IFI47
1058,IFIT1
1059,IFIT3
1060,IFITM1
1061,IFITM3
1062,IFITM6
1063,IFNGR1
1064,IFRD2
1065,IFT140
1066,IGDCC4
1067,IGF1
1068,IGFBP4
1069,IGHD
1070,IGHJ4
1071,IGHM
1072,IGHV1-53
1073,IGHV1-69
1074,IGHV1-74
1075,IGHV1-76
1076,IGHV1-77
1077,IGHV1-81
1078,IGHV1-82
1079,IGKC
1080,IGKV14-126
1081,IGLC1
1082,IGLC2
1083,IGSF6
1084,IGTP
1085,IIGP1
1086,IKBKE
1087,IKZF1
1088,IKZF2
1089,IL10RA
1090,IL12A
1091,IL15
1092,IL17RA
1093,IL17RB
1094,IL17RE
1095,IL18BP
1096,IL18RAP
1097,IL1R1
1098,IL1RL1
1099,IL21R
1100,IL27RA
1101,IL31RA
1102,IL4RA
1103,IL6ST
1104,IL7
1105,IL7R
1106,ILVBL
1107,IMMT
1108,INCENP
1109,INHBA
1110,INKA1
1111,INO80D
1112,INPP1
1113,INPP5B
1114,INSL6
1115,INSRR
1116,INTS11
1117,INTS13
1118,INTS4
1119,INTS6
1120,INTS8
1121,IPO13
1122,IPO4
1123,IPO9
1124,IRAK2
1125,IRAK3
1126,IRF1
1127,IRF5
1128,IRF6
1129,IRF7
1130,IRF8
1131,IRF9
1132,IRGM2
1133,ISG20
1134,ISLR
1135,ISYNA1
1136,ITFG1
1137,ITGA5
1138,ITGA6
1139,ITGAL
1140,ITGAM
1141,ITGB1
1142,ITGB5
1143,ITGB7
1144,ITIH5
1145,ITM2A
1146,ITPR1
1147,ITPR2
1148,ITSN1
1149,JAK2
1150,JAK3
1151,JAM2
1152,JAM3
1153,JARID2
1154,JCHAIN
1155,JMJD4
1156,JMY
1157,JPT1
1158,JPT2
1159,JUN
1160,KAT7
1161,KAZALD1
1162,KBTBD11
1163,KCNG1
1164,KCNK5
1165,KCNQ1OT1
1166,KCTD12
1167,KCTD20
1168,KCTD9
1169,KDM7A
1170,KDM8
1171,KEL
1172,KIDINS220
1173,KIF11
1174,KIF13A
1175,KIF17
1176,KIF18A
1177,KIF20B
1178,KIF22
1179,KIF2C
1180,KIF3B
1181,KIT
1182,KLF1
1183,KLF3
1184,KLF6
1185,KLHDC8B
1186,KLHL12
1187,KLHL22
1188,KLHL23
